file,species,name,original_words,new_words,words_added,sections_expanded,sections_added
"/opt/build/repo/breeds/dogs/affenpinscher.html","dogs","Affenpinscher",1187,2984,1797,6,0
"/opt/build/repo/breeds/dogs/afghan-hound.html","dogs","Afghan Hound",1319,3159,1840,6,0
"/opt/build/repo/breeds/dogs/airedale-terrier.html","dogs","Airedale Terrier",1581,3422,1841,6,0
"/opt/build/repo/breeds/dogs/akbash.html","dogs","Akbash",1171,2967,1796,6,0
"/opt/build/repo/breeds/dogs/akita.html","dogs","Akita",1563,3349,1786,6,0
"/opt/build/repo/breeds/dogs/alaskan-klee-kai.html","dogs","Alaskan Klee Kai",1371,3255,1884,6,0
"/opt/build/repo/breeds/dogs/alaskan-malamute.html","dogs","Alaskan Malamute",1659,3493,1834,6,0
"/opt/build/repo/breeds/dogs/american-bulldog.html","dogs","American Bulldog",1502,3336,1834,6,0
"/opt/build/repo/breeds/dogs/american-eskimo-dog.html","dogs","American Eskimo Dog",1354,3237,1883,6,0
"/opt/build/repo/breeds/dogs/american-eskimo.html","dogs","American Eskimo Dog",1353,3236,1883,6,0
"/opt/build/repo/breeds/dogs/american-foxhound.html","dogs","American Foxhound",1232,3071,1839,6,0
"/opt/build/repo/breeds/dogs/american-pit-bull-terrier.html","dogs","American Pit Bull Terrier",1272,3208,1936,6,0
"/opt/build/repo/breeds/dogs/american-staffordshire-terrier.html","dogs","American Staffordshire Terrier",1491,3382,1891,6,0
"/opt/build/repo/breeds/dogs/american-water-spaniel.html","dogs","American Water Spaniel",1664,3617,1953,5,1
"/opt/build/repo/breeds/dogs/anatolian-shepherd.html","dogs","Anatolian Shepherd",1198,3039,1841,6,0
"/opt/build/repo/breeds/dogs/aussiedoodle.html","dogs","Aussiedoodle",1266,3064,1798,6,0
"/opt/build/repo/breeds/dogs/australian-cattle-dog.html","dogs","Australian Cattle Dog",1550,3445,1895,6,0
"/opt/build/repo/breeds/dogs/australian-kelpie.html","dogs","Australian Kelpie",1304,3148,1844,6,0
"/opt/build/repo/breeds/dogs/australian-shepherd.html","dogs","Australian Shepherd",1600,3442,1842,6,0
"/opt/build/repo/breeds/dogs/australian-terrier.html","dogs","Australian Terrier",1148,2985,1837,6,0
"/opt/build/repo/breeds/dogs/azawakh.html","dogs","Azawakh",1322,3116,1794,6,0
"/opt/build/repo/breeds/dogs/barbet.html","dogs","Barbet",1293,3090,1797,6,0
"/opt/build/repo/breeds/dogs/basenji.html","dogs","Basenji",1301,3088,1787,6,0
"/opt/build/repo/breeds/dogs/basenjis.html","dogs","Basenji",1337,3138,1801,6,0
"/opt/build/repo/breeds/dogs/basset-hound.html","dogs","Basset Hound",1433,3274,1841,6,0
"/opt/build/repo/breeds/dogs/beagle.html","dogs","Beagle",1897,3690,1793,6,0
"/opt/build/repo/breeds/dogs/bearded-collie.html","dogs","Bearded Collie",1334,3168,1834,6,0
"/opt/build/repo/breeds/dogs/beauceron.html","dogs","Beauceron",1227,3023,1796,6,0
"/opt/build/repo/breeds/dogs/belgian-malinois.html","dogs","Belgian Malinois",1490,3325,1835,6,0
"/opt/build/repo/breeds/dogs/belgian-sheepdog.html","dogs","Belgian Sheepdog",1335,3169,1834,6,0
"/opt/build/repo/breeds/dogs/belgian-tervuren.html","dogs","Belgian Tervuren",1477,3311,1834,6,0
"/opt/build/repo/breeds/dogs/bergamasco.html","dogs","Bergamasco",1303,3100,1797,6,0
"/opt/build/repo/breeds/dogs/berger-picard.html","dogs","Berger Picard",1275,3118,1843,6,0
"/opt/build/repo/breeds/dogs/bernedoodle.html","dogs","Bernedoodle",1309,3106,1797,6,0
"/opt/build/repo/breeds/dogs/bernese-mountain-dog.html","dogs","Bernese Mountain Dog",1785,3674,1889,6,0
"/opt/build/repo/breeds/dogs/bichon-frise.html","dogs","Bichon Frise",1293,3131,1838,6,0
"/opt/build/repo/breeds/dogs/black-and-tan-coonhound.html","dogs","Black and Tan Coonhound",1251,3186,1935,6,0
"/opt/build/repo/breeds/dogs/black-russian-terrier.html","dogs","Black Russian Terrier",1259,3151,1892,6,0
"/opt/build/repo/breeds/dogs/bloodhound.html","dogs","Bloodhound",1552,3337,1785,6,0
"/opt/build/repo/breeds/dogs/bluetick-coonhound.html","dogs","Bluetick Coonhound",1173,3013,1840,6,0
"/opt/build/repo/breeds/dogs/boerboel.html","dogs","Boerboel",1177,2974,1797,6,0
"/opt/build/repo/breeds/dogs/bohemian-shepherd.html","dogs","Bohemian Shepherd",1225,3064,1839,6,0
"/opt/build/repo/breeds/dogs/border-collie.html","dogs","Border Collie",1622,3471,1849,6,0
"/opt/build/repo/breeds/dogs/border-terrier.html","dogs","Border Terrier",1317,3150,1833,6,0
"/opt/build/repo/breeds/dogs/bordoodle.html","dogs","Bordoodle",1293,3078,1785,6,0
"/opt/build/repo/breeds/dogs/borzoi.html","dogs","Borzoi",1294,3090,1796,6,0
"/opt/build/repo/breeds/dogs/boston-terrier.html","dogs","Boston Terrier",1549,3393,1844,6,0
"/opt/build/repo/breeds/dogs/bouvier-des-flandres.html","dogs","Bouvier des Flandres",1286,3178,1892,6,0
"/opt/build/repo/breeds/dogs/boxer.html","dogs","Boxer",2100,3890,1790,6,0
"/opt/build/repo/breeds/dogs/boykin-spaniel.html","dogs","Boykin Spaniel",1638,3540,1902,5,1
"/opt/build/repo/breeds/dogs/bracco-italiano.html","dogs","Bracco Italiano",1633,3533,1900,5,1
"/opt/build/repo/breeds/dogs/briard.html","dogs","Briard",1239,3037,1798,6,0
"/opt/build/repo/breeds/dogs/brittany.html","dogs","Brittany",1486,3276,1790,6,0
"/opt/build/repo/breeds/dogs/brussels-griffon.html","dogs","Brussels Griffon",1216,3062,1846,6,0
"/opt/build/repo/breeds/dogs/bull-terrier.html","dogs","Bull Terrier",1318,3160,1842,6,0
"/opt/build/repo/breeds/dogs/bulldog.html","dogs","Bulldog (English Bulldog)",2170,4056,1886,6,0
"/opt/build/repo/breeds/dogs/bullmastiff.html","dogs","Bullmastiff",1180,2974,1794,6,0
"/opt/build/repo/breeds/dogs/cairn-terrier.html","dogs","Cairn Terrier",1213,3055,1842,6,0
"/opt/build/repo/breeds/dogs/canaan-dog.html","dogs","Canaan Dog",1279,3127,1848,6,0
"/opt/build/repo/breeds/dogs/cane-corso.html","dogs","Cane Corso",1629,3473,1844,6,0
"/opt/build/repo/breeds/dogs/cardigan-welsh-corgi.html","dogs","Cardigan Welsh Corgi",1255,3145,1890,6,0
"/opt/build/repo/breeds/dogs/carolina-dog.html","dogs","Carolina Dog",1281,3132,1851,6,0
"/opt/build/repo/breeds/dogs/carpathian-shepherd.html","dogs","Carpathian Shepherd",1186,3029,1843,6,0
"/opt/build/repo/breeds/dogs/caucasian-shepherd.html","dogs","Caucasian Shepherd",1228,3071,1843,6,0
"/opt/build/repo/breeds/dogs/cavachon.html","dogs","Cavachon",1163,2958,1795,6,0
"/opt/build/repo/breeds/dogs/cavalier-king-charles-spaniel.html","dogs","Cavalier King Charles Spaniel",1779,3717,1938,6,0
"/opt/build/repo/breeds/dogs/cavalier-king-charles.html","dogs","Cavalier King Charles Spaniel",1409,3339,1930,6,0
"/opt/build/repo/breeds/dogs/cavapoo.html","dogs","Cavapoo",1266,3060,1794,6,0
"/opt/build/repo/breeds/dogs/central-asian-shepherd.html","dogs","Central Asian Shepherd",1191,3082,1891,6,0
"/opt/build/repo/breeds/dogs/cesky-terrier.html","dogs","Cesky Terrier",1340,3173,1833,6,0
"/opt/build/repo/breeds/dogs/chesapeake-bay-retriever.html","dogs","Chesapeake Bay Retriever",1654,3537,1883,6,0
"/opt/build/repo/breeds/dogs/chi-poo.html","dogs","Chi-Poo",1290,3075,1785,6,0
"/opt/build/repo/breeds/dogs/chihuahua.html","dogs","Chihuahua",1447,3243,1796,6,0
"/opt/build/repo/breeds/dogs/chinese-crested.html","dogs","Chinese Crested",1233,3078,1845,6,0
"/opt/build/repo/breeds/dogs/chinese-shar-pei.html","dogs","Chinese Shar-Pei",1255,3096,1841,6,0
"/opt/build/repo/breeds/dogs/chorkie.html","dogs","Chorkie",1179,2977,1798,6,0
"/opt/build/repo/breeds/dogs/chow-chow.html","dogs","Chow Chow",1328,3165,1837,6,0
"/opt/build/repo/breeds/dogs/cirneco-dell-etna.html","dogs","Cirneco dell'Etna",1310,3154,1844,6,0
"/opt/build/repo/breeds/dogs/clumber-spaniel.html","dogs","Clumber Spaniel",1351,3192,1841,6,0
"/opt/build/repo/breeds/dogs/cockapoo.html","dogs","Cockapoo",1254,3053,1799,6,0
"/opt/build/repo/breeds/dogs/cocker-spaniel.html","dogs","Cocker Spaniel",1555,3392,1837,6,0
"/opt/build/repo/breeds/dogs/collie.html","dogs","Collie",1552,3346,1794,6,0
"/opt/build/repo/breeds/dogs/coton-de-tulear.html","dogs","Coton de Tulear",1367,3248,1881,6,0
"/opt/build/repo/breeds/dogs/croatian-sheepdog.html","dogs","Croatian Sheepdog",1333,3167,1834,6,0
"/opt/build/repo/breeds/dogs/dachshund.html","dogs","Dachshund",1811,3610,1799,6,0
"/opt/build/repo/breeds/dogs/dalmatian.html","dogs","Dalmatian",1389,3186,1797,6,0
"/opt/build/repo/breeds/dogs/dandie-dinmont-terrier.html","dogs","Dandie Dinmont Terrier",1384,3265,1881,6,0
"/opt/build/repo/breeds/dogs/doberman-pinscher.html","dogs","Doberman Pinscher",1636,3480,1844,6,0
"/opt/build/repo/breeds/dogs/dogo-argentino.html","dogs","Dogo Argentino",1201,3043,1842,6,0
"/opt/build/repo/breeds/dogs/dogue-de-bordeaux.html","dogs","Dogue de Bordeaux",1365,3247,1882,6,0
"/opt/build/repo/breeds/dogs/dutch-shepherd.html","dogs","Dutch Shepherd",1228,3072,1844,6,0
"/opt/build/repo/breeds/dogs/east-european-shepherd.html","dogs","East European Shepherd",1256,3148,1892,6,0
"/opt/build/repo/breeds/dogs/english-bulldog.html","dogs","English Bulldog",1328,3161,1833,6,0
"/opt/build/repo/breeds/dogs/english-cocker-spaniel.html","dogs","English Cocker Spaniel",1539,3422,1883,6,0
"/opt/build/repo/breeds/dogs/english-foxhound.html","dogs","English Foxhound",1294,3133,1839,6,0
"/opt/build/repo/breeds/dogs/english-setter.html","dogs","English Setter",1324,3159,1835,6,0
"/opt/build/repo/breeds/dogs/english-springer-spaniel.html","dogs","English Springer Spaniel",1530,3416,1886,6,0
"/opt/build/repo/breeds/dogs/english-toy-spaniel.html","dogs","English Toy Spaniel",1195,3087,1892,6,0
"/opt/build/repo/breeds/dogs/entlebucher-mountain-dog.html","dogs","Entlebucher Mountain Dog",1669,3622,1953,5,1
"/opt/build/repo/breeds/dogs/estrela-mountain-dog.html","dogs","Estrela Mountain Dog",1197,3088,1891,6,0
"/opt/build/repo/breeds/dogs/field-spaniel.html","dogs","Field Spaniel",1357,3201,1844,6,0
"/opt/build/repo/breeds/dogs/finnish-lapphund.html","dogs","Finnish Lapphund",1331,3165,1834,6,0
"/opt/build/repo/breeds/dogs/finnish-spitz.html","dogs","Finnish Spitz",1630,3532,1902,5,1
"/opt/build/repo/breeds/dogs/flat-coated-retriever.html","dogs","Flat-Coated Retriever",1698,3533,1835,6,0
"/opt/build/repo/breeds/dogs/fox-terrier-smooth.html","dogs","Smooth Fox Terrier",1380,3263,1883,6,0
"/opt/build/repo/breeds/dogs/foxhound.html","dogs","American Foxhound",1346,3179,1833,6,0
"/opt/build/repo/breeds/dogs/french-bulldog.html","dogs","French Bulldog",2003,3844,1841,6,0
"/opt/build/repo/breeds/dogs/german-pinscher.html","dogs","German Pinscher",1217,3060,1843,6,0
"/opt/build/repo/breeds/dogs/german-shepherd.html","dogs","German Shepherd",2315,4155,1840,6,0
"/opt/build/repo/breeds/dogs/german-shorthaired-pointer.html","dogs","German Shorthaired Pointer",1654,3549,1895,6,0
"/opt/build/repo/breeds/dogs/german-wirehaired-pointer.html","dogs","German Wirehaired Pointer",1303,3192,1889,6,0
"/opt/build/repo/breeds/dogs/giant-schnauzer.html","dogs","Giant Schnauzer",1212,3057,1845,6,0
"/opt/build/repo/breeds/dogs/golden-retriever.html","dogs","Golden Retriever",2496,4330,1834,6,0
"/opt/build/repo/breeds/dogs/goldendoodle.html","dogs","Goldendoodle",1315,3112,1797,6,0
